baseline,,bm3,,dmso_1,,dmso_2,,4Phenylimidazole_0.1,,4Phenylimidazole_0.2,,4Phenylimidazole_0.3,,4Phenylimidazole_0.5,,4Phenylimidazole_0.6,,4Phenylimidazole_0.7,,4Phenylimidazole_0.8,,4Phenylimidazole_0.9,,4Phenylimidazole_1.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
743.9710083,-0.001969178673,743.9710083,-0.006052888464,743.9710083,-0.004838319961,743.9710083,-0.004062227439,743.9710083,-0.003635850269,743.9710083,-0.001952480176,743.9710083,-0.001212822855,743.9710083,0.001169444411,743.9710083,0.004558675457,743.9710083,0.01304079313,743.9710083,0.008026982658,743.9710083,0.008105331101,743.9710083,0.005386693869,
742.9771118,0.0003476323327,742.9771118,-0.004986974411,742.9771118,-0.004644490778,742.9771118,-0.004531789571,742.9771118,-0.003747039242,742.9771118,-0.003075365908,742.9771118,-0.003006578423,742.9771118,0.0009082782199,742.9771118,0.00113752007,742.9771118,0.01211551577,742.9771118,0.008544092998,742.9771118,0.004245402291,742.9771118,0.004775274545,
741.9828491,-0.0003355595691,741.9828491,-0.006996030454,741.9828491,-0.006099346094,741.9828491,-0.00663631456,741.9828491,-0.004018526524,741.9828491,-0.005576126743,741.9828491,-0.0008041533292,741.9828491,-0.001067621866,741.9828491,-7.956617628E-5,741.9828491,0.009754489176,741.9828491,0.005737853702,741.9828491,0.003001836594,741.9828491,0.003761476139,
740.9882202,0.0001131623067,740.9882202,-0.006528922822,740.9882202,-0.004165872466,740.9882202,-0.006045025773,740.9882202,-0.003384415293,740.9882202,-0.00179783348,740.9882202,-0.002118303208,740.9882202,-0.001114771003,740.9882202,-0.0009639583295,740.9882202,0.01177887153,740.9882202,0.003571793903,740.9882202,0.003422502894,740.9882202,0.005110643338,
739.9932251,-0.001054607099,739.9932251,-0.01139082201,739.9932251,-0.007761409972,739.9932251,-0.00592012424,739.9932251,-0.004670817871,739.9932251,-0.002524863463,739.9932251,-0.003987132572,739.9932251,-0.001612184802,739.9932251,-0.005142331589,739.9932251,0.004605371971,739.9932251,0.005337685812,739.9932251,0.003155050566,739.9932251,0.005697434768,
738.9979248,0.001764238579,738.9979248,-0.00515333144,738.9979248,-0.003937062342,738.9979248,-0.006725175306,738.9979248,-0.002324179979,738.9979248,-0.0017641132,738.9979248,-0.001017420203,738.9979248,-0.001225161599,738.9979248,0.001327387989,738.9979248,0.008185355924,738.9979248,0.007732779253,738.9979248,0.004694802687,738.9979248,0.005472432356,
738.0022583,0.0001934889297,738.0022583,-0.0047150678,738.0022583,-0.009289249778,738.0022583,-0.005540858489,738.0022583,-0.004082076252,738.0022583,-0.002105320105,738.0022583,-0.001811238355,738.0022583,-0.00143801549,738.0022583,-0.001296296599,738.0022583,0.001340370858,738.0022583,0.004375495482,738.0022583,0.005464306101,738.0022583,0.004795034882,
737.0062866,-0.003570745932,737.0062866,-0.008115571924,737.0062866,-0.006566762924,737.0062866,-0.008662995882,737.0062866,-0.004872980062,737.0062866,-0.003571413457,737.0062866,-0.001312349341,737.0062866,-0.005907253828,737.0062866,-0.004701189231,737.0062866,0.0001037374604,737.0062866,0.002064646455,737.0062866,0.002789636841,737.0062866,0.001578154508,
736.0099487,0.0009971841937,736.0099487,-0.004457954317,736.0099487,-0.004985695239,736.0099487,-0.003261161037,736.0099487,-0.002484147437,736.0099487,-0.002624398563,736.0099487,0.0009042056045,736.0099487,-0.0007822937914,736.0099487,0.002224138938,736.0099487,0.006986527704,736.0099487,0.005839744117,736.0099487,0.003762520384,736.0099487,0.007712094113,
735.0132446,0.002806675853,735.0132446,-0.003527508816,735.0132446,-0.003177550156,735.0132446,-0.002084762324,735.0132446,0.0001079579015,735.0132446,0.0001029089181,735.0132446,0.001526067266,735.0132446,0.001512299641,735.0132446,-0.00196186034,735.0132446,0.008279696107,735.0132446,0.00790269766,735.0132446,0.007412837818,735.0132446,0.008592751808,
734.0161743,0.0004696181859,734.0161743,-0.007308361586,734.0161743,-0.004793365486,734.0161743,-0.004651149735,734.0161743,-0.005241115578,734.0161743,-0.003130213358,734.0161743,-0.001686299103,734.0161743,-0.001440595486,734.0161743,0.0007217566017,734.0161743,0.005902978126,734.0161743,0.007526394445,734.0161743,0.004307385068,734.0161743,0.006165827159,
733.0187378,-0.001273893868,733.0187378,-0.005777816754,733.0187378,-0.004855726846,733.0187378,-0.005921196658,733.0187378,-0.004763307981,733.0187378,-0.0009969660314,733.0187378,0.0009649352287,733.0187378,-0.001582009369,733.0187378,-0.001519795042,733.0187378,0.006252191961,733.0187378,0.00604506582,733.0187378,0.001838138327,733.0187378,0.005743073765,
732.0209961,0.001196439262,732.0209961,-0.006286761258,732.0209961,-0.003267686814,732.0209961,-0.005404563155,732.0209961,-0.003358113114,732.0209961,-0.005187812727,732.0209961,-0.001120089786,732.0209961,-0.001942532836,732.0209961,-0.001319110976,732.0209961,0.004450599663,732.0209961,0.005095609464,732.0209961,0.003567356849,732.0209961,0.007155180443,
